post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
45387966.statistics-or-calculus-in-high-school,2021-12-13T20:04:24.701Z,true,2021-12-13T20:04:24.779Z,newsletter,everyone,Statistics or Calculus in High School?: Critiquing Matthew Yglesias (& Kareem Carr),& BRIEFLY NOTED: For 2021-12-13 Mo,
45346226.in-praise-of-azeem-azhar-the-exponential,2021-12-13T00:34:22.906Z,true,2021-12-13T00:34:22.983Z,newsletter,everyone,"In Praise of Azeem Azhar, ""Þe Exponential Age: How Accelerating Technology is Transforming Business, Politics & Society ""; & BRIEFLY NOTED: For 2021-12-12 Su",Things that went whizzing by that I want to remember:,
45310491.appreciating-and-reviewing-patrick,2021-12-11T19:12:03.782Z,true,2021-12-11T19:12:04.060Z,newsletter,everyone,"Appreciating & Reviewing Patrick Wyman: ""Þe Verge""; & BRIEFLY NOTED: 2021-12-11 Sa",Things that went whizzing by that I want to remember:,
45302394.slouching-tweetstorm,2021-12-10T20:54:07.121Z,true,,newsletter,everyone,Slouching Tweetstorm:,My tweet storm for Slouching Towards Utopia:,
45291632.wory-reads-for-2021-12-10,2021-12-10T19:21:38.961Z,true,2021-12-10T19:21:39.039Z,newsletter,everyone,Worþy Reads: For 2021-12-10 Fr,A preview of my weekly read-around for Equitable Growth,
45246561.i-am-still-puzzled-that-anyone-is,2021-12-10T19:57:12.223Z,true,2021-12-10T19:57:12.403Z,newsletter,everyone,"I Am Still Puzzled Þt Anyone Is Off of ""Team Transitory""; & BRIEFLY NOTED: For 2021-12-10 Fr",Things that went whizzing by that I want to remember:,
45240064.reading-simon-kuznets-modern-economic,2021-12-09T17:30:17.029Z,true,,newsletter,everyone,READING: Simon Kuznets: Modern Economic Growth: Findings & Reflections,1971 Nobel Prize Lecture,
45135533.value-and-power-negative-sum-force,2021-12-09T15:05:26.461Z,true,2021-12-09T15:05:26.550Z,newsletter,everyone,"Value & Power: Negative-Sum Force, Zero-Sum Fraud, & Positive-Sum Exchange; & BRIEFLY NOTED: For 2021-12-09 Th",Things that went whizzing by that I want to remember:,
45121230.is-is-the-moment-my-long-run-china,2021-12-08T17:24:55.326Z,true,2021-12-08T17:24:55.395Z,newsletter,everyone,Is Þis the Moment My Long-Run China Growth Pessimism Will Be Right?; & BRIEFLY NOTED: For 2021-12-08 We,Things that went whizzing by that I want to remember:,
45080934.getting-fast-and-complete-recovery,2021-12-07T14:09:47.425Z,true,2021-12-07T14:09:47.502Z,newsletter,everyone,Getting Fast & Complete Recovery in a Shaken-Up Labor Market; & BRIEFLY NOTED: For 2021-12-07 Tu,Things that went whizzing by that I want to remember,
44968246.omicron,2021-12-03T23:10:45.508Z,true,2021-12-03T23:10:45.770Z,newsletter,everyone,Omicron,(As of 2021-12-03),
44964739.wory-reads-for-2021-12-03-fr,2021-12-03T21:09:56.730Z,true,2021-12-03T21:09:56.784Z,newsletter,everyone,Worþy Reads: For 2021-12-03 Fr,A preview of my weekly read-around for Equitable Growth,
44909427.questions-and-answers-on-delongs,2021-12-02T20:10:11.676Z,true,2021-12-02T20:10:11.742Z,newsletter,everyone,Questions & Answers on DeLong's Interpretation of þe Long 20th Century,A catechism... ,
44852957.one-really-should-not-say-there-is,2021-12-05T20:29:58.015Z,true,2021-12-05T20:29:58.107Z,newsletter,everyone,"One Really Should Not Say: ""Þere Is a Choice Between Vaccines & Masks""; & BRIEFLY NOTED: For 2021-12-05 Su",Things that went whizzing by that I want to remember...,
44803345.feedback-on-this-substack,2021-11-30T23:15:10.182Z,true,2021-11-30T23:15:10.269Z,newsletter,only_paid,Feedback on Þis Substack,Subscribers: here is your chance to determine the future direction of this 'stack...,
